"sol:0","sol:1","sol:2","anal2","error2","Points:0","Points:1","Points:2"
-3.0657,0,0,-3.0657,2.4584e-08,5.875,0,2.4584e-08
-2.5694,-0.41862,0,-2.5694,3.9711e-08,6,0.3,3.9711e-08
-2.3078,-0.75803,0,-2.3078,1.7796e-09,6,0.6,1.7796e-09
-1.9527,-0.97542,0,-1.9527,3.3925e-08,6,0.9,3.3925e-08
-1.5772,-1.0721,0,-1.5772,1.3792e-08,6,1.2,1.3792e-08
-1.2316,-1.0759,0,-1.2316,3.5952e-08,6,1.5,3.5952e-08
-0.93907,-1.0209,0,-0.93907,9.044e-10,6,1.8,9.044e-10
-0.70377,-0.93515,0,-0.70377,3.3609e-08,6,2.1,3.3609e-08
-0.52031,-0.83781,0,-0.52031,2.6666e-08,6,2.4,2.6666e-08
-0.37988,-0.74034,0,-0.37988,2.9822e-09,6,2.7,2.9822e-09
-2.6418,-0.21479,0,-2.6418,2.0048e-08,6,0.15,2.0048e-08
-2.4553,-0.60201,0,-2.4553,2.0584e-08,6,0.45,2.0584e-08
-2.137,-0.88279,0,-2.137,2.6128e-08,6,0.75,2.6128e-08
-1.7637,-1.0374,0,-1.7637,2.5494e-08,6,1.05,2.5494e-08
-1.3987,-1.0834,0,-1.3987,3.5371e-08,6,1.35,3.5371e-08
-1.0781,-1.0538,0,-1.0781,2.7993e-08,6,1.65,2.7993e-08
-0.81446,-0.98047,0,-0.81446,1.6475e-08,6,1.95,1.6475e-08
-0.60608,-0.88706,0,-0.60608,7.132e-09,6,2.25,7.132e-09
-0.44529,-0.78861,0,-0.44529,3.0829e-09,6,2.55,3.0829e-09
-0.32296,-0.69359,0,-0.32296,3.1873e-08,6,2.85,3.1873e-08
-0.25018,-0.72264,0,-0.25018,1.5856e-08,5.7647,3,1.5856e-08
-0.21413,-0.79823,0,-0.21413,2.6438e-08,5.5294,3,2.6438e-08
-0.16331,-0.87243,0,-0.16331,1.2372e-08,5.2941,3,1.2372e-08
-0.096223,-0.9411,0,-0.096223,6.2289e-09,5.0588,3,6.2289e-09
-0.012417,-0.99925,0,-0.012417,8.1014e-09,4.8235,3,8.1014e-09
0.087155,-1.0415,0,0.087156,4.8174e-08,4.5882,3,4.8174e-08
0.19988,-1.0625,0,0.19988,1.854e-08,4.3529,3,1.854e-08
0.32151,-1.058,0,0.32151,3.6065e-08,4.1176,3,3.6065e-08
0.44661,-1.0255,0,0.44662,3.3473e-08,3.8824,3,3.3473e-08
0.56922,-0.96429,0,0.56922,1.5912e-09,3.6471,3,1.5912e-09
0.68366,-0.87606,0,0.68366,1.9373e-08,3.4118,3,1.9373e-08
0.78522,-0.76406,0,0.78522,2.6731e-08,3.1765,3,2.6731e-08
0.87056,-0.63257,0,0.87056,4.7794e-08,2.9412,3,4.7794e-08
0.93769,-0.48626,0,0.93769,2.5237e-08,2.7059,3,2.5237e-08
0.98573,-0.32953,0,0.98573,2.6126e-08,2.4706,3,2.6126e-08
1.0145,-0.16631,0,1.0145,4.0115e-08,2.2353,3,4.0115e-08
1.0241,-0,0,1.0241,8.273e-09,2,3,8.273e-09
1.0145,0.16631,0,1.0145,4.0115e-08,1.7647,3,4.0115e-08
0.98573,0.32953,0,0.98573,2.6126e-08,1.5294,3,2.6126e-08
0.93769,0.48626,0,0.93769,2.5237e-08,1.2941,3,2.5237e-08
0.87056,0.63257,0,0.87056,4.7794e-08,1.0588,3,4.7794e-08
0.78522,0.76406,0,0.78522,2.6731e-08,0.82353,3,2.6731e-08
0.68366,0.87606,0,0.68366,1.9373e-08,0.58824,3,1.9373e-08
0.56922,0.96429,0,0.56922,1.5912e-09,0.35294,3,1.5912e-09
0.44661,1.0255,0,0.44662,3.3473e-08,0.11765,3,3.3473e-08
0.32151,1.058,0,0.32151,3.6065e-08,-0.11765,3,3.6065e-08
0.19988,1.0625,0,0.19988,1.854e-08,-0.35294,3,1.854e-08
0.087155,1.0415,0,0.087156,4.8174e-08,-0.58824,3,4.8174e-08
-0.012417,0.99925,0,-0.012417,8.1014e-09,-0.82353,3,8.1014e-09
-0.096223,0.9411,0,-0.096223,6.2289e-09,-1.0588,3,6.2289e-09
-0.16331,0.87243,0,-0.16331,1.2372e-08,-1.2941,3,1.2372e-08
-0.21413,0.79823,0,-0.21413,2.6438e-08,-1.5294,3,2.6438e-08
-0.25018,0.72264,0,-0.25018,1.5856e-08,-1.7647,3,1.5856e-08
-0.2633,-0.68534,0,-0.2633,3.1731e-08,5.8824,3,3.1731e-08
-0.23389,-0.76039,0,-0.23389,3.7354e-08,5.6471,3,3.7354e-08
-0.19068,-0.83574,0,-0.19068,5.9203e-09,5.4118,3,5.9203e-09
-0.13185,-0.90775,0,-0.13186,2.0242e-08,5.1765,3,2.0242e-08
-0.056388,-0.97183,0,-0.056388,3.1388e-08,4.9412,3,3.1388e-08
0.035522,-1.0227,0,0.035522,4.7626e-09,4.7059,3,4.7626e-09
0.1421,-1.0549,0,0.1421,8.8469e-09,4.4706,3,8.8469e-09
0.2599,-1.0636,0,0.2599,3.5275e-08,4.2353,3,3.5275e-08
0.384,-1.0453,0,0.384,0,4,3,0
0.5086,-0.9984,0,0.5086,1.9088e-08,3.7647,3,1.9088e-08
